Root,Akkadian_Terms
ḫnʾ,"ḫanû(m) II; ḫunnû(m)"
ḫnb,ḫanābu(m)
ḫnm,ḫanāmum
ḫnn,ḫanānu I
ḫnp,ḫanāpu I.II
ḫnq,ḫanāqu(m)
ḫnṣ,ḫanāṣu
ḫnš,kanāšu(m) I
ḫpʾ,"ḫapûm; ḫepû(m) II"
ḫpd,ḫuppudum II
ḫpp,ḫapāpu I.II
ḫpr,"ḫapāru(m) I.III; ḫepēru"
ḫpt,ḫapātum
ḫqm,ḫuqqumum
ḫqr,ḫaqāru
ḫrʾ,"ḫarû IV; ḫerû(m) II"
ḫrb,"ḫarābu; ḫarāpu(m) I"
ḫrbš,naḫarbušu
ḫrd,ḫarādu(m) III.IV
ḫrk,ḫarāku
ḫrm,ḫarāmu(m) I.II
ḫrmm,naḫarmumu
ḫrmṭ,naḫarmuṭu(m)
ḫrp,ḫarāpu(m) I.II
ḫrr,"arāru(m) III; ḫarāru(m) I; šuḫarruru(m) II; šuḫruru"
ḫrs,ḫarāsu
ḫrṣ,"ḫarāṣu(m) I; karāṣu(m)"
ḫrš,ḫarāšu(m) I.II.III
ḫršš,naḫaršušu
ḫrṭ,ḫarāṭum
ḫsʾ,"azû(m) I; ḫesû(m)"
ḫsp,ḫasāpu(m)
ḫsr,ḫasāru(m)
ḫss,ḫasāsu(m)
ḫṣʾ,ḫazûm II
ḫṣb,ḫaṣābu(m) I.II
ḫṣn,ḫaṣānu(m)
ḫṣṣ,˙aṣāṣu(m) I.II
ḫšʾ,ḫašû(m) V.VI.VII
ḫšb,ḫašābu
ḫšḫ,ḫašāḫu(m)
ḫšl,ḫašālu(m)
ḫšr,ḫašāru
ḫšš,ḫašāšu(m) I.II
ḫtʾ,ḫatû(m) II.III
ḫtk,ḫatākum
ḫtn,ḫatānu
ḫtp,ḫatāpu(m)
ḫtr,ḫatāru
ḫṭʾ,ḫaṭû(m) II
ḫṭm,ḫaṭāmu
ḫṭp,ḫaṭāpu(m)
ḫṭṭ,ḫaṭāṭu(m) I.II
ḫwʾ,ḫawû
ḫzʾ,azû(m) I
ḫzʾ,"ḫazûm II; ḫutenzû"
ḫzm,ḫazāmu
ḫzq,ḫazāqu
kʾʾ,"gâʾu; kaʾʾû"
kʾd,kâdu(m) I.II
kʾn,kânu(m)
kʾl,kullu(m) II
kʾp,kâpu
kʾr,kâru(m) I.II
kʾs,kêsu(m)
kʾṣ,kâṣu
kʾš,kâšu III
kbʾ,"kubbû II; kubbuʾu"
kbb,kabābu II
kbd,kabātu(m)
kbl,kabālu(m)
kbr,kabāru(m)
kbs,"kabāsu(m) I; kapāṣu(m) II"
kbṣ,kapāṣu(m) II
kbš,"kabāsu(m) I; kabāšu I"
kbt,kabātu(m)
kdd,kadādu
kdn,kuddunu
kdp,kadāpu
kdr,kadāru(m) II.III
klʾ,kalû(m) V
kll,"kullulu(m) II; šuklulu(m) II"
klm,kullumu(m)
klmʾ,nekemû(m)
klṣ,kalāṣu(m)
kmʾ,"kamû(m) III; kawû(m) II"
kmd,kamādu(m)
kml,kamālu
kmm,kamāmu
kmr,kamāru(m) III
kms,kamāsu(m) I.II
kmṣ,kamāsu(m) I.II.III?
kmš,"kamāsu(m) II; kamāšu"
knʾ,kanû(m)
knk,kanāku(m)
knn,"ganānu; kanānu(m)"
knp,kunnupu
knš,"kamāšu; kanāšu(m) I.II"
knz,kanāzu
kpʾ,kepû(m)
kpd,kapādu(m)
kpl,kapālu(m)
kpp,kapāpu(m)
kpr,kapāru(m) I.II.III
kps,kapāṣu(m) II
kpṣ,kapāṣu(m) II
kpš,kapāšu(m)
kpt,"kapādu(m); kapātu(m)"
krʾ,"karāʾu; karû(m) II"
krb,karābu(m) II
krk,karāku
krm,karāmu(m)
krr,karāru I.II
krs,karāsu
krṣ,karāṣu(m)
krt,karātu
krṭ,karāṭu(m)
ksʾ,kasû(m) III
ksm,kasāmu(m)
ksp,kasāpu(m) I.II
ksr,kasāru(m)
kss,kasāsu(m)
kṣʾ,kaṣû(m) III
kṣb,kaṣābu
kṣd,kaṣādu(m)
kṣp,kaṣāpu
kṣr,kaṣāru(m)
kṣṣ,"gazāzu(m); kasāsu(m); kaṣāṣu(m) I"
kšʾ,kašû(m) I.II
kšd,kašādu(m)
kšḫ,ḫašāḫu(m)
kšp,kašāpu(m)
kšr,kašāru(m)
kšš,kašāšu(m) I.II
kšṭ,kašāṭu(m)
ktʾ,katāʾum
ktm,katāmu(m)
ktr,katāru I.II
ktt,katātu(m)
kwʾ,kawû(m) II
kzb,kazābu(m) I.II
kzr,kezēru(m) I
kzz,"gazāzu(m); kazāzu"
lʾʾ,"leʾû(m); luʾʾû(m) II"
lʾb,laʾābu(m)
lʾd,lâdu(m)
lʾk,lêku(m)
lʾm,"lêmu(m); luāmum; lummu III"
lʾp,"laʾʾupum II; liāpum"
lʾš,"laʾāšu(m); lâšu I.II"
lʾt,laʾātu
lʾṭ,lâṭu(m)
